name	version	archive_sha256	unpacked_source
solana-stable-layout	3.0.1	c9f6a291ba063a37780af29e7db14bdd3dc447584d8ba5b3fc4b88e2bbc982fa	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-stable-layout-3.0.1
solana-transaction-error	3.3.2	054e54d15164b0c34cb744600a1a0330e9fd97a12d979f2eb95904c807a07713	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/solana-transaction-error-3.3.2
spki	0.7.3	d91ed6c858b01f942cd56b37a94b3e0a1798290327d1236e4d9cf4eaca44d29d	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/spki-0.7.3
strsim	0.11.1	7da8b5736845d9f2fcb837ea5d9e2628564b3b043a70948a3f0b778838c5fb4f	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/strsim-0.11.1
subtle	2.6.1	13c2bddecc57b384dee18652358fb23172facb8a2c51ccc10d74c157bdea3292	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/subtle-2.6.1
syn	2.0.119	872831b642d1a07999a962a351ed35b955ea2cfc8f3862091e2a240a84f17297	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/syn-2.0.119
syn	3.0.3	53e9bae58849f64dfa4f5d5ae372c8341f7305f82a3868709269343628b659a3	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/syn-3.0.3
thiserror	2.0.20	ec86235f5fcc2a73650310756d2ac5b138a5780bbbdfae3eeccec992c435ba4f	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/thiserror-2.0.20
thiserror-impl	2.0.20	bc04cd3e1236dd4a98afca4569f2deb3f120e5422a4023be2cb683f8486292af	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/thiserror-impl-2.0.20
typenum	1.20.1	b6f5e870be6c3b371b77fe0ee0bafb859fa4964b4404c27de1d380043c4dda20	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/typenum-1.20.1
unicode-ident	1.0.24	e6e4313cd5fcd3dad5cafa179702e2b244f760991f45397d14d4ebf38247da75	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/unicode-ident-1.0.24
version_check	0.9.5	0b928f33d975fc6ad9f86c8f283853ad26bdd5b10b7f1542aa2fa15e2289105a	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/version_check-0.9.5
wasi	0.11.1+wasi-snapshot-preview1	ccf3ec651a847eb01de73ccad15eb7d99f80485de043efb2f370cd654f4ea44b	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wasi-0.11.1+wasi-snapshot-preview1
wasip2	1.0.4+wasi-0.2.12	b67efb37e106e55ce722a510d6b5f9c17f083e5fc79afc2badeb12cc313d9487	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wasip2-1.0.4+wasi-0.2.12
wincode	0.5.5	66d967db7705dc29120bb6e8ce5b5a2e27734ed5976d1c904e95bd238d1c3c5a	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wincode-0.5.5
wincode-derive	0.4.6	15ab90b719560d0fda79c74550ad1c948d17b118765942838055ebaf34d67071	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wincode-derive-0.4.6
wit-bindgen	0.57.1	1ebf944e87a7c253233ad6766e082e3cd714b5d03812acc24c318f549614536e	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/wit-bindgen-0.57.1
zerocopy	0.8.56	556764e583adb45a9f8d413c2a147fa7e8d821e48e12b14fd560b607998b75eb	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-0.8.56
zerocopy-derive	0.8.56	f2ab42fc20575779bd240faa45f94a74256f755c0fa9e89f0ede20d91d0cdfc1	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zerocopy-derive-0.8.56
zeroize	1.9.0	e13c156562582aa81c60cb29407084cdb54c4164760106ab78e6c5b0858cf64e	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zeroize-1.9.0
zmij	1.0.23	29666d0abbfad1e3dc4dcf6144730dd3a3ab225bbbdac83319345b1b44ccfc1b	/Users/ember/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zmij-1.0.23
