name	version	source	checksum	license
clutch-resolution-work-v1	0.1.0	path+research/resolution-work-v1	-	AGPL-3.0-or-later
clutch-sbf	0.1.0	path+programs/clutch-sbf/program	-	AGPL-3.0-or-later
clutch-sbf-committed-harness	0.1.0	path+programs/clutch-sbf/committed-harness	-	AGPL-3.0-or-later
clutch-sbf-harness	0.1.0	path+programs/clutch-sbf/harness	-	AGPL-3.0-or-later
clutch-sbf-svm-tests	0.1.0	path+programs/clutch-sbf/svm-tests	-	AGPL-3.0-or-later
clutch-solana-layout	0.1.0	path+programs/solana-layout	-	AGPL-3.0-or-later
clutch-solana-reference	0.1.0	path+programs/solana-reference	-	AGPL-3.0-or-later
clutch-source-profile-v1	0.1.0	path+research/source-profile-v1	-	AGPL-3.0-or-later
clutch-terminal-economics-r4	0.1.0	path+research/terminal-economics-r4	-	AGPL-3.0-or-later
clutch-terminal-lifecycle-v2	0.1.0	path+research/terminal-lifecycle-v2	-	AGPL-3.0-or-later
clutch-token2022-probe	0.1.0	path+toolchain/probes/token2022	-	AGPL-3.0-or-later
clutch-vector-check	0.1.0	path+tools/vector-check	-	AGPL-3.0-or-later
clutch-vertical-model	0.1.0	path+research/vertical-model	-	AGPL-3.0-or-later
cmov	0.5.4	registry+https://github.com/rust-lang/crates.io-index	0c9ea0ac24bc397ab3c98583a3c9ba74fa56b09a4449bbe172b9b1ddb016027a	Apache-2.0 OR MIT
colorchoice	1.0.5	registry+https://github.com/rust-lang/crates.io-index	1d07550c9036bf2ae0c684c4297d503f838287c83c53686d05370d0e139ae570	MIT OR Apache-2.0
combine	3.8.1	registry+https://github.com/rust-lang/crates.io-index	da3da6baa321ec19e1cc41d31bf599f00c783d0517095cdaf0332e3fe8d20680	MIT
combine	4.6.7	registry+https://github.com/rust-lang/crates.io-index	ba5a308b75df32fe02788e748662718f03fde005016435c444eea572398219fd	MIT
compression-codecs	0.4.38	registry+https://github.com/rust-lang/crates.io-index	ce2548391e9c1929c21bf6aa2680af86fe4c1b33e6cea9ac1cfeec0bd11218cf	MIT OR Apache-2.0
compression-core	0.4.32	registry+https://github.com/rust-lang/crates.io-index	cc14f565cf027a105f7a44ccf9e5b424348421a1d8952a8fc9d499d313107789	MIT OR Apache-2.0
const-oid	0.9.6	registry+https://github.com/rust-lang/crates.io-index	c2459377285ad874054d797f3ccebf984978aa39129f6eafde5cdc8315b612f8	Apache-2.0 OR MIT
constant_time_eq	0.4.2	registry+https://github.com/rust-lang/crates.io-index	3d52eff69cd5e647efe296129160853a42795992097e8af39800e1060caeea9b	CC0-1.0 OR MIT-0 OR Apache-2.0
core-foundation	0.10.1	registry+https://github.com/rust-lang/crates.io-index	b2a6cd9ae233e7f62ba4e9353e81a88df7fc8a5987b8d445b4d90c879bd156f6	MIT OR Apache-2.0
core-foundation-sys	0.8.7	registry+https://github.com/rust-lang/crates.io-index	773648b94d0e5d620f64f280777445740e61fe701025087ec8b57f45c791888b	MIT OR Apache-2.0
cpufeatures	0.2.17	registry+https://github.com/rust-lang/crates.io-index	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280	MIT OR Apache-2.0
cpufeatures	0.3.0	registry+https://github.com/rust-lang/crates.io-index	8b2a41393f66f16b0823bb79094d54ac5fbd34ab292ddafb9a0456ac9f87d201	MIT OR Apache-2.0
crc32fast	1.5.0	registry+https://github.com/rust-lang/crates.io-index	9481c1c90cbf2ac953f07c8d4a58aa3945c425b7185c9154d67a65e4230da511	MIT OR Apache-2.0
crossbeam-channel	0.5.16	registry+https://github.com/rust-lang/crates.io-index	d85363c37faeca707aef026efa9f3b34d077bce547e48f770770625c6013679e	MIT OR Apache-2.0
