ok,0,0,0,0,0,1000
ok,0,0,0,0,0,1000
ok,0,0,0,0,0,1000
ok,1,0,0,0,0,0,0
ok,0,1,0,0,0,0,0
ok,0,1,0,0,0,0,0
ok,0,1,0,0,0,0,0
ok,0,0,1,0,0,0,0
ok,0,0,1,0,0,0,0
ok,0,0,0,1,0,0,0
ok,0,0,0,1,0,0,0
ok,0,0,0,1,0,0,0
ok,0,0,0,1,0,0,0
ok,0,0,0,1,0,0,0
ok,0,0,0,0,1,0,0
ok,0,0,0,0,1,0,0
ok,0,0,0,0,1,0,0
ok,0,0,0,0,0,1,0
ok,0,0,0,0,0,1,0
ok,0,0,0,0,0,0,1
ok,0,0,0,0,0,0,1
ok,0,0,0,0,0,0,1
ok,0,0,0,0,0,0,1
ok,0,0,0,0,0,0,1
ok,2,0,0,0,0,0,0
ok,1,1,0,0,0,0,0
ok,0,1,1,0,0,0,0
ok,0,1,1,0,0,0,0
ok,0,1,1,0,0,0,0
ok,0,0,1,1,0,0,0
ok,0,0,1,1,0,0,0
ok,0,0,1,1,0,0,0
ok,0,0,1,1,0,0,0
ok,0,0,0,1,1,0,0
ok,0,0,0,1,1,0,0
ok,0,0,0,1,1,0,0
ok,0,0,0,0,1,1,0
ok,0,0,0,0,1,1,0
ok,0,0,0,0,1,1,0
ok,0,0,0,0,0,1,1
ok,0,0,0,0,0,0,2
ok,0,0,0,0,0,0,2
ok,0,0,0,0,0,0,2
ok,0,0,0,0,0,0,2
ok,0,0,0,0,0,0,2
ok,3,0,0,0,0,0,0
ok,1,2,0,0,0,0,0
ok,0,2,1,0,0,0,0
ok,0,2,1,0,0,0,0
ok,0,1,2,0,0,0,0
ok,0,0,2,1,0,0,0
ok,0,0,1,2,0,0,0
ok,0,0,1,2,0,0,0
ok,0,0,1,2,0,0,0
ok,0,0,0,2,1,0,0
ok,0,0,0,2,1,0,0
ok,0,0,0,1,2,0,0
ok,0,0,0,0,2,1,0
ok,0,0,0,0,2,1,0
ok,0,0,0,0,1,2,0
ok,0,0,0,0,0,2,1
ok,0,0,0,0,0,0,3
ok,0,0,0,0,0,0,3
ok,0,0,0,0,0,0,3
ok,0,0,0,0,0,0,3
ok,0,0,0,0,0,0,3
ok,7,0,0,0,0,0,0
ok,3,3,1,0,0,0,0
ok,1,4,2,0,0,0,0
ok,0,3,3,1,0,0,0
ok,0,2,4,1,0,0,0
ok,0,1,4,2,0,0,0
ok,0,0,3,4,0,0,0
ok,0,0,2,4,1,0,0
ok,0,0,1,5,1,0,0
ok,0,0,1,4,2,0,0
ok,0,0,0,4,3,0,0
ok,0,0,0,2,4,1,0
ok,0,0,0,1,4,2,0
ok,0,0,0,1,3,3,0
ok,0,0,0,0,2,4,1
ok,0,0,0,0,1,3,3
ok,0,0,0,0,0,0,7
ok,0,0,0,0,0,0,7
ok,0,0,0,0,0,0,7
ok,0,0,0,0,0,0,7
ok,0,0,0,0,0,0,7
ok,8,0,0,0,0,0,0
ok,3,4,1,0,0,0,0
ok,1,5,2,0,0,0,0
ok,0,4,4,0,0,0,0
ok,0,2,5,1,0,0,0
ok,0,1,5,2,0,0,0
ok,0,0,4,4,0,0,0
ok,0,0,2,5,1,0,0
ok,0,0,2,5,1,0,0
ok,0,0,1,5,2,0,0
ok,0,0,0,4,4,0,0
ok,0,0,0,2,5,1,0
ok,0,0,0,1,5,2,0
ok,0,0,0,0,4,4,0
ok,0,0,0,0,2,5,1
ok,0,0,0,0,1,4,3
ok,0,0,0,0,0,0,8
ok,0,0,0,0,0,0,8
ok,0,0,0,0,0,0,8
ok,0,0,0,0,0,0,8
ok,0,0,0,0,0,0,8
ok,16,0,0,0,0,0,0
ok,7,8,1,0,0,0,0
ok,2,10,4,0,0,0,0
ok,0,8,7,1,0,0,0
ok,0,4,9,3,0,0,0
ok,0,2,9,5,0,0,0
ok,0,1,7,8,0,0,0
ok,0,0,5,10,1,0,0
ok,0,0,3,11,2,0,0
ok,0,0,1,10,5,0,0
ok,0,0,0,8,8,0,0
ok,0,0,0,5,9,2,0
ok,0,0,0,3,9,4,0
ok,0,0,0,1,8,7,0
ok,0,0,0,0,4,10,2
ok,0,0,0,0,1,8,7
ok,0,0,0,0,0,0,16
ok,0,0,0,0,0,0,16
ok,0,0,0,0,0,0,16
ok,0,0,0,0,0,0,16
ok,0,0,0,0,0,0,16
ok,63,0,0,0,0,0,0
ok,27,31,5,0,0,0,0
ok,8,38,16,1,0,0,0
ok,1,29,29,4,0,0,0
ok,0,16,37,10,0,0,0
ok,0,7,36,20,0,0,0
ok,0,2,30,30,1,0,0
ok,0,0,20,39,4,0,0
ok,0,0,11,42,10,0,0
ok,0,0,4,39,20,0,0
ok,0,0,1,30,30,2,0
ok,0,0,0,20,36,7,0
ok,0,0,0,10,37,16,0
ok,0,0,0,4,29,29,1
ok,0,0,0,1,17,37,8
ok,0,0,0,0,5,31,27
ok,0,0,0,0,0,0,63
ok,0,0,0,0,0,0,63
ok,0,0,0,0,0,0,63
ok,0,0,0,0,0,0,63
ok,0,0,0,0,0,0,63
ok,1000,0,0,0,0,0,0
ok,422,496,79,3,0,0,0
ok,125,594,260,21,0,0,0
ok,16,457,457,70,0,0,0
ok,0,250,583,167,0,0,0
ok,0,105,577,315,3,0,0
ok,0,31,469,479,21,0,0
ok,0,4,314,612,70,0,0
ok,0,0,167,667,166,0,0
ok,0,0,70,612,314,4,0
ok,0,0,21,479,469,31,0
ok,0,0,3,315,577,105,0
ok,0,0,0,167,583,250,0
ok,0,0,0,70,457,457,16
ok,0,0,0,21,260,594,125
ok,0,0,0,3,79,496,422
ok,0,0,0,0,0,0,1000
ok,0,0,0,0,0,0,1000
ok,0,0,0,0,0,0,1000
ok,0,0,0,0,0,0,1000
ok,0,0,0,0,0,0,1000
ok,1,0,0,0
ok,1,0,0,0
ok,1,0,0,0
ok,1,0,0,0
ok,0,1,0,0
ok,0,1,0,0
ok,0,0,1,0
ok,0,0,1,0
ok,0,0,0,1
ok,0,0,0,1
ok,0,0,0,1
ok,0,0,0,1
ok,0,0,0,1
ok,2,0,0,0
ok,2,0,0,0
ok,2,0,0,0
ok,1,1,0,0
ok,0,2,0,0
ok,0,1,1,0
ok,0,0,2,0
ok,0,0,1,1
ok,0,0,0,2
ok,0,0,0,2
ok,0,0,0,2
ok,0,0,0,2
ok,0,0,0,2
ok,3,0,0,0
ok,3,0,0,0
ok,3,0,0,0
ok,2,1,0,0
ok,0,3,0,0
ok,0,2,1,0
ok,0,0,3,0
ok,0,0,2,1
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,7,0,0,0
ok,7,0,0,0
ok,7,0,0,0
ok,4,3,0,0
ok,0,7,0,0
ok,0,4,3,0
ok,0,0,7,0
ok,0,0,4,3
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,8,0,0,0
ok,8,0,0,0
ok,8,0,0,0
ok,4,4,0,0
ok,0,8,0,0
ok,0,4,4,0
ok,0,0,8,0
ok,0,0,4,4
ok,0,0,0,8
ok,0,0,0,8
